,link,Title,change mode,param_name
SPARK-22489,https://github.com/apache/spark/commit/8ff474f6e543203fac5d49af7fbe98a8a98da567,[CORE] Remove JobProgressListener.,rmv RmvModule ,spark.ui.retainedStages spark.ui.retainedJobs spark.ui.retainedTasks
SPARK-22520,https://github.com/apache/spark/commit/087879a77acb37b790c36f8da67355b90719c2dc,[SQL] Support code generation for large CaseWhen,rmv RmvModule ,spark.sql.codegen.maxCaseBranches
SPARK-22839,https://github.com/apache/spark/commit/f15906da153f139b698e192ec6f82f078f896f1e,[K8S] Remove the use of init-container for downloading remote dependencies,rmv RmvModule ,spark.kubernetes.mountDependencies.filesDownloadDir spark.kubernetes.mountDependencies.jarsDownloadDir spark.kubernetes.mountDependencies.timeout …
SPARK-23361,https://github.com/apache/spark/commit/5fa438471110afbf4e2174df449ac79e292501f8,[YARN] Allow AM to restart after initial tokens expire.,rmv RmvModule ,spark.yarn.credentials.file.retention.count spark.yarn.credentials.file.retention.days spark.yarn.credentials.file spark.yarn.credentials.renewalTime spark.yarn.credentials.updateTime
SPARK-23538,https://github.com/apache/spark/commit/508573958dc9b6402e684cd6dd37202deaaa97f6,[CORE] Remove custom **CONFIGUR**ation for SSL client.,rmv RmvModule ,spark.ssl.fs
SPARK-25160,https://github.com/apache/spark/commit/60af2501e1afc00192c779f2736a4e3de12428fa,Avro: remove sql **CONFIGUR**ation spark.sql.avro.outp……utTimestampType,rmv RmvModule ,spark.sql.avro.outputTimestampType
SPARK-25705,https://github.com/apache/spark/commit/703e6da1ecb52ab5b8f42b3b4cac39f27caa51d8,Remove Kafka 0.8 integration,rmv RmvModule ,spark.streaming.kafka.maxRetries
SPARK-25711,https://github.com/apache/spark/commit/26c1b959cf29b8552beb715cc5d39288d5298bdc,Allow history server to show usage and remove deprecated options,rmv RmvModule ,spark.history.fs.logDirectory
SPARK-25815,https://github.com/apache/spark/commit/4b3fe3a9ccc8a4a8eb0d037d19cb07a8a288e37a,"Support kerberos in client mode, keytab-based token renewal.",rmv RmvModule ,spark.kubernetes.executor.krb5ConfigMapName spark.kubernetes.kerberos.spark-user-name
SPARK-26503,https://github.com/apache/spark/commit/51a6ba0181a013f2b62b47184785a8b6f6a78f12,Get rid of spark.sql.legacy.timeParser.enabled,rmv RmvModule ,spark.sql.legacy.timeParser.enabled
SPARK-26539,https://github.com/apache/spark/commit/2f8a938805ce3c182d61bab8f66b9ff6d90dc83b,Remove spark.memory.useLegacyMode and StaticMemoryManager,rmv RmvModule ,spark.memory.useLegacyMode
SPARK-26584,https://github.com/apache/spark/commit/270916f8cd8ba01341f2a38a8376e9e4be08a2e8,Remove `spark.sql.orc.copyBatchToSpark` internal conf,rmv RmvModule ,spark.sql.orc.copyBatchToSpark
SPARK-26788,https://github.com/apache/spark/commit/4808393449ccad2c6bc73c91d0ed8dd8f60c7054,Remove SchedulerExtensionService.,rmv RmvModule ,spark.yarn.services
SPARK-26998,https://github.com/apache/spark/commit/57aff93886ac7d02b88294672ce0d2495b0942b8,Remove SSL **CONFIGUR**ation from executors,rmv RmvModule ,spark.ssl
SPARK-27008,https://github.com/apache/spark/commit/8e5f9995cad409799f3646b3d03761a771ea1664,Support java.time.LocalDate as an external type of…… DateType,rmv RmvModule ,spark.sql.catalyst.timestampType
SPARK-27349,https://github.com/apache/spark/commit/1d95dea30788b9f64c5e304d908b85936aafb238,Dealing with TimeVars removed in Hive 2.x,rmv RmvModule ,ConfVars.HIVE_STATS_JDBC_TIMEOUT ConfVars.HIVE_STATS_RETRIES_WAIT
SPARK-29399,https://github.com/apache/spark/commit/56a0b5421e41f46a65375c0e5ef9993e9502f93,[CORE] Remove old ExecutorPlugin interface,rmv RmvModule ,spark.executor.plugins
SPARK-29930,https://github.com/apache/spark/commit/5eb8973f871fef557fb4ca3f494406ed676a431,[SQL] Remove SQL **CONFIGS** declared to be removed in Spark 3.0,rmv RmvModule ,"spark.sql.fromJsonForceNullableSchema, spark.sql.legacy.compareDateTimestampInTimestamp, spark.sql.legacy.allowCreatingManagedTableUsingNonemptyLocation"
CASSANDRA-13625,https://github.com/apache/cassandra/commit/082af0a9ba6b5dde26055fcb9ddd2085e4240381,Remove unused max_value_size_in_mb config setting,rmv RmvModule ,max_value_size_in_mb
CASSANDRA-13910,https://github.com/apache/cassandra/commit/2fcd29b830e7b201e7047d283de385d5f1c427b5,Eliminate background repair and probablistic read_repair_chance table option,rmv RmvModule ,dclocal_read_repair_chance read_repair_chance
CASSANDRA-14081,https://github.com/apache/cassandra/commit/df51d0cbbaaa99aea9bc2a582f788f9170dbdc03,Remove unused and deprecated methods from AbstractCompactionStrategy,rmv RmvModule ,COMPACTION_ENABLED
CASSANDRA-14173,https://github.com/apache/cassandra/commit/28ee665b3c0c9238b61a871064f024d54cddcc79,Remove dependencies on JVM internals for JMX support,rmv RmvModule ,com.sun.management.jmxremote.ssl
