Issue ID,Commit link,Title
HDFS-13609,https://github.com/apache/hadoop/commit/00e99c65943e64fd696ec715cf21e851b93115f1,NameNode-side changes to support tailing edits via RPC
HDFS-12935,https://github.com/apache/hadoop/commit/01bd6ab18fa48f4c7cac1497905b52e547962599,Get ambiguous result for DFSAdmin command in HA mode when only one namenode is up.
HDFS-13617,https://github.com/apache/hadoop/commit/024c87291cb4cc67282fe5645fb827427cc581c6,Allow wrapping NN QOP into token in encrypted message.
HDFS-12603,https://github.com/apache/hadoop/commit/035c6ee587e444550af6420676e4cee049e09869,Enable async edit logging by default
HDFS-13852,https://github.com/apache/hadoop/commit/04caaba4884cdea9f3b97f819fe6599ab3d6f151,RBF: The DN_REPORT_TIME_OUT and DN_REPORT_CACHE_EXPIRE should be configured in RBFConfigKeys.
HDFS-12982,https://github.com/apache/hadoop/commit/05d4daf6ba3e5bd40f46e8003ee12fc7c613453d,Reduce the locking and cleanup the Namesystem access.
HDFS-13418,https://github.com/apache/hadoop/commit/0725953efec89b35b7586b846abb01f7c5963b37,NetworkTopology should be configurable when enable DFSNetworkTopology
HDFS-12544,https://github.com/apache/hadoop/commit/075dd45a24398dcdcddd60da995f0dc152eee321,SnapshotDiff - support diff generation on any snapshot root descendant directory.
HDFS-12877,https://github.com/apache/hadoop/commit/0780fdb1ebdddd19744fbbca7fb05f8fe4bf4d28,Add open(PathHandle) with default buffersize
HDFS-9049,https://github.com/apache/hadoop/commit/09efdfe9e13c9695867ce4034aa6ec970c2032f1,Make Datanode Netty reverse proxy port to be configurable
HDFS-13275,https://github.com/apache/hadoop/commit/0be0f1ce1da984ff3a8fd4b079297ead2dc6722d,Adding log for BlockPoolManager#refreshNamenodes failures
HDFS-13884,https://github.com/apache/hadoop/commit/0da49642fc1eb71997b1aa268583c1ba09a16687,Improve the description of the setting dfs.image.compress
HDFS-14388,https://github.com/apache/hadoop/commit/0dbd87874a16403f537ef31f45ab0fe05924af6f,RBF: Prevent loading metric system when disabled.
HDFS-12214,https://github.com/apache/hadoop/commit/0e820f16af309cc8476edba448dd548686431133,[SPS]: Fix review comments of StoragePolicySatisfier feature.
HDFS-10899,https://github.com/apache/hadoop/commit/1000a2af04b24c123a3b08168f36b4e90420cab7,Add functionality to re-encrypt EDEKs.
