Issue ID,Commit Link,Title
CASSANDRA-11097,https://github.com/apache/cassandra/commit/0240a4659d761f06f94f8cd97097f2d0ad2d220c,Introduce optional timeouts for idle client sessions
CASSANDRA-13006,https://github.com/apache/cassandra/commit/02aba7343ce300397ab672bbb1788aa8182d8a48,Rely on the JVM to handle OutOfMemoryErrors
CASSANDRA-13987,https://github.com/apache/cassandra/commit/05cb556f90dbd1929a180254809e05620265419b,More frequent commitlog chained markers
CASSANDRA-14798,https://github.com/apache/cassandra/commit/0766f7e54182d04ecf5a15a732f5ec7951d62326,Improve wording around partitioner selection
CASSANDRA-13625,https://github.com/apache/cassandra/commit/082af0a9ba6b5dde26055fcb9ddd2085e4240381,Remove unused max_value_size_in_mb config setting
CASSANDRA-14314,https://github.com/apache/cassandra/commit/11496039fb18bb45407246602e31740c56d28157,Correct and clarify SSLFactory.getSslContext method and call site
CASSANDRA-13656,https://github.com/apache/cassandra/commit/12d4e2f189fb228250edc876963d0c74b5ab0d4f,Change default start_native_transport to true and remove from jvm.options
CASSANDRA-13418,https://github.com/apache/cassandra/commit/14d67d81c57d6387c77bd85c57b342d285880835,Allow to skip overlapings checks
CASSANDRA-14991,https://github.com/apache/cassandra/commit/16ef9ac37c21c4f9091cd1f3658e54abddab8ad8,SSL Cert Hot Reloading should check for sanity of the new keystore/truststore before loading it
CASSANDRA-14580,https://github.com/apache/cassandra/commit/176d4bac22c356c80e275dcb4040bc5cbd0da1c2,Make PeriodicCommitLogService.blockWhenSyncLagsNanos configurable
CASSANDRA-14275,https://github.com/apache/cassandra/commit/19d26bcb80219bce0089fbe8942a34e3a331fd17,Add ability to specify driver name and version
CASSANDRA-14303,https://github.com/apache/cassandra/commit/1f19d5f7a243cc4227da923459f5eb2f66066778,Auto-expand replication_factor for NetworkTopologyStrategy
CASSANDRA-15202,https://github.com/apache/cassandra/commit/2117e2af00603f5fb2181e53dbcba190b2eab861,Make repair coordination less expensive by moving MerkleTrees off heap
CASSANDRA-14173,https://github.com/apache/cassandra/commit/28ee665b3c0c9238b61a871064f024d54cddcc79,Remove dependencies on JVM internals for JMX support
CASSANDRA-13910,https://github.com/apache/cassandra/commit/2fcd29b830e7b201e7047d283de385d5f1c427b5,Eliminate background repair and probablistic read_repair_chance table option
CASSANDRA-14938,https://github.com/apache/cassandra/commit/3ddfbc8f5871c78bde26e96a936e96deeccb4366,Add specialized IndexRegistry for offline tools/clients
CASSANDRA-14372,https://github.com/apache/cassandra/commit/42827e6a6709c4ba031e0a137a3bab257f88b54f,Yaml comments: data_file_directories distributes data evenly by partitioning its token ranges.
CASSANDRA-13518,https://github.com/apache/cassandra/commit/428eaa3e37cab7227c81fdf124d29dfc1db4257c,Add storage port options to sstableloader
CASSANDRA-14566,https://github.com/apache/cassandra/commit/47a12c52a313258307ab88392f75c5866d9a2bb1,Stream entire SSTables when possible
CASSANDRA-15007,https://github.com/apache/cassandra/commit/47d4971b56d97ba8a528f7c17bfd6b11f1ababa3,Fix SimpleStrategy option validation
CASSANDRA-14352,https://github.com/apache/cassandra/commit/4991ca26aa424286ebdee89742d35e813f9e9259,Clean up parsing speculative retry params from string
CASSANDRA-12245,https://github.com/apache/cassandra/commit/4c80eeece37d79f434078224a0504400ae10a20d,Parallelize initial materialized view build
CASSANDRA-14084,https://github.com/apache/cassandra/commit/50e6e721b2a81da7f11f60a2fa405fd46e5415d4,Fix imbalanced disks when replacing node with same address with JBOD
CASSANDRA-14226,https://github.com/apache/cassandra/commit/518ddbf9d21491d341a3d7e2f2a2e65409595e07,Better document in code InetAddressAndPort usage post 7544
