Issue ID,Commit Link,Title
HBASE-19494,https://github.com/apache/hbase/commit/32f6fd41c274a955338b7c43ab80309b9adbba0d,Create simple WALKey filter that can be plugged in on the Replication SinkImplement new WALEntrySinkFilter (as opposed to WALEntryFilter) andspecify the implmentation (with a no-param constructor) in configusing property hbase.replication.sink.walentrysinkfilter
HBASE-18307,https://github.com/apache/hbase/commit/351703455a091171a1abc90f250f52f0a7a0aaab,"Share the same EventLoopGroup for NettyRpcServer, NettyRpcClient and AsyncFSWALProvider at RS side"
HBASE-22005,https://github.com/apache/hbase/commit/35b818606ffb4e67cf9acf3b55af4ea9e3ce8c32,Use ByteBuff's refcnt to track the life cycle of data block
HBASE-18137,https://github.com/apache/hbase/commit/384e308e9f2387422e76ceb1432d6b2b85a973cf,Replication gets stuck for empty WALs
HBASE-19957,https://github.com/apache/hbase/commit/39dd81a7c69763475e5a72f6c84e0f450fd957e5,General framework to transit sync replication state
HBASE-18224,https://github.com/apache/hbase/commit/3b444a066c0c699aff749713209950198f1b21e4,Upgrade Jetty
HBASE-20636,https://github.com/apache/hbase/commit/3de02d57f632d5c2cb2027cca3bd0333210f5619,Introduce two bloom filter type : ROWPREFIX and ROWPREFIX_DELIMITED
HBASE-16868,https://github.com/apache/hbase/commit/3e2941a49e58080618fd2d2e6757694c96651e0a,Add a replicate_all flag to avoid misuse the namespaces and table-cfs config of replication peer
HBASE-19128,https://github.com/apache/hbase/commit/4132314f51951af43f4f56d9886233b3ba417903,"Purge Distributed Log Replay from codebase, configurations, text; mark the feature as unsupported, broken."
HBASE-19619,https://github.com/apache/hbase/commit/41c2dd04da21bb76208f04af104df2e2f444970d,Modify replication_admin.rb to use ReplicationPeerConfigBuilder
HBASE-21536,https://github.com/apache/hbase/commit/420fbba6aefa58bb6ff252ff0c33e9b4ccae64b0,Fix completebulkload usage instructions
HBASE-19163,https://github.com/apache/hbase/commit/428e5672e77d6dea9cfdafb5a3052415b9926d12,Maximum lock count exceeded from region server's batch processing
HBASE-20569,https://github.com/apache/hbase/commit/44ca13fe07dc5050a2bc98ccd3f65953f06aaef8,NPE in RecoverStandbyProcedure.execute
HBASE-18846,https://github.com/apache/hbase/commit/456057ef90f152315a7f244141f3fca4ff748336,Accommodate the hbase-indexer/lily/SEP consumer deploy-typePatch to start a standalone RegionServer that register's itself andoptionally stands up Services.
HBASE-20401,https://github.com/apache/hbase/commit/4613f3e8c740e881505fcd2c661a0e28462eb459,Make MAX_WAIT and waitIfNotFinished in CleanerContext configurable
HBASE-18511,https://github.com/apache/hbase/commit/473446719b7b81b56216862bf2a94a576ff90f60,Default no regions on master
HBASE-22301,https://github.com/apache/hbase/commit/47b4ab7b9732b790b2b471c489f670093e64ad2c,Consider rolling the WAL if the HDFS write pipeline is slow
HBASE-18335,https://github.com/apache/hbase/commit/48d28c7a248d0f8c19b18c20d4484864ac67b549,configuration guide fixes
HBASE-19344,https://github.com/apache/hbase/commit/49a9fe48830cb0ef0ae9eef2de305420c08d09ab,improve asyncWAL by using Independent thread for netty #IO in FanOutOneBlockAsyncDFSOutput
HBASE-19295,https://github.com/apache/hbase/commit/4a2e8b852dceb8f68adf33c940621734cc6e2f12,"The Configuration returned by CPEnv should be read-only.Adds a ReadOnlyConfiguration that delegates gets but throws exceptionon sets/adds, etc."
HBASE-21031,https://github.com/apache/hbase/commit/4a52ddb75e2d18c6b044146b03bb1dba90ec4184,Memory leak if replay edits failed during region opening
HBASE-18090,https://github.com/apache/hbase/commit/4aadc5d322884310ce6ef49fb0031bfbd2a096b9,Improve TableSnapshotInputFormat to allow more multiple mappers per region
HBASE-22225,https://github.com/apache/hbase/commit/4b84ab32b372121f7fec50a4c7310b06e8a86ee0,Profiler tab on Master/RS UI not working w/o comprehensive message
HBASE-19158,https://github.com/apache/hbase/commit/4c203a9be038e8110737509439666f5af6e90c2c,First pass at a 1.2 -> 2.0 upgrade section.
HBASE-19148,https://github.com/apache/hbase/commit/4d6b928682cc2a17f3dfd0179fb3fd46fd9e0a1f,Reevaluate default values of configurationsRemoved unused: <name>hbase.fs.tmp.dir</name>Added hbase.master.loadbalance.bytableEdit of description text. Moved stuff around to put configs beside eachother.M hbase-server/src/main/java/org/apache/hadoop/hbase/util/ServerCommandLine.java Emit some hbase configs in log on startup
HBASE-19389,https://github.com/apache/hbase/commit/4f54a66782e1621437a4c8eeea59aec37efa08c4,Limit concurrency of put with dense (hundreds) columns to prevent write handler exhausted
HBASE-18083,https://github.com/apache/hbase/commit/4fe73857679ecba89a7edd3c17d9f92e4c0e2164,Make large/small file clean thread number configurable in HFileCleaner
HBASE-18452,https://github.com/apache/hbase/commit/51954359416b107ce5eda6cb710449edc98ab0e6,VerifyReplication by Snapshot should cache HDFS token before submit job for kerberos env
HBASE-21727,https://github.com/apache/hbase/commit/51c58e083ca89a33de79c8531a16f7072c488d6d,Simplify documentation around client timeout
HBASE-20295,https://github.com/apache/hbase/commit/53b4507c7949362d49a1b827f2cdf2b1e8cefa68,fix NullPointException in TableOutputFormat.checkOutputSpecs
HBASE-22053,https://github.com/apache/hbase/commit/53f449c47e49d0fb99bb659964babf1e352350b8,Changed zookeeper URL from http://hadoop.apache.org to https://zookeeper.apache.org Replaced version 3.1.1 with 3.3.3 as 3.1.1 is deprecated.
HBASE-18262,https://github.com/apache/hbase/commit/5507150a163f08c966f4cd55607feff8e2570c17,name of parameter quote need update
HBASE-22057,https://github.com/apache/hbase/commit/59406c44e3ac1c046d0c467d452fca80c848d93a,Impose upper-bound on size of ZK ops sent in a single multi()
HBASE-19486,https://github.com/apache/hbase/commit/5a1c36f70ac52e6f4e85f11ea0602d46b4861ac0,Periodically ensure records are not buffered too long by BufferedMutator
HBASE-21148,https://github.com/apache/hbase/commit/5a672b9da9b67376e3fc3b88fdf88dca3004a38f,[Docs] Some errors in section#Security Configuration Example of hbase book
HBASE-21098,https://github.com/apache/hbase/commit/5c1b325b510976fe2955593d95690ba507c32e03,Improve Snapshot Performance with Temporary Snapshot Directory when rootDir on S3
